# ----------------------------------------
# All Web Site Data
# Export Metrics (Filter U.S.A.)
# 20150101-20170719
# ----------------------------------------

Year,Country,Page Title,Unique Pageviews
2016,Sweden,Assignments - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,183
2016,Singapore,Assignments - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,183
2017,Ghana,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,183
2017,Singapore,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,183
2016,Finland,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",182
2017,Spain,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,182
2017,Mauritius,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,182
2017,Tunisia,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,182
2015,Canada,Alison's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,180
2015,France,"Class Session 2 Assignment: Expanding on Character: Cast and Dialogue, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",180
2016,Australia,"Assignments - Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",180
2015,Albania,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,179
2015,Canada,"Class Session 5 Assignment: Voice and Setting, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",179
2017,Afghanistan,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,179
2016,France,"annick's Home | Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",178
2016,Ireland,Assignments - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,178
2017,Cambodia,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,178
2017,Morocco,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,178
2015,Canada,Pam's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,177
2015,United Kingdom,"Class Session 4 Assignment: Using Character to Produce Frame and Arc, Received Evaluations - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",177
2015,United Kingdom,"Class Session 7 Assignment: Embracing Revision, Received Evaluations - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",177
2017,Bangladesh,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,177
2017,Algeria,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,177
2017,Kiribati,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,177
2016,United Arab Emirates,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",176
2015,New Zealand,"Class Session 7 Assignment: Embracing Revision, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",174
2016,Portugal,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",174
2017,Australia,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,174
2017,Sri Lanka,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,174
2015,Australia,"Class Session 5 Assignment: Voice and Setting, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",173
2015,India,"Class Session 3 Assignment: Working with Plot, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",172
2016,Sri Lanka,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",172
2016,Peru,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",171
2017,Switzerland,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,171
2017,Mauritius,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,171
2017,Germany,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,170
2017,Jordan,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,170
2017,Mozambique,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,170
2015,Canada,Darlene's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,169
2015,Germany,"Class Session 3 Assignment: Working with Plot, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",169
2015,United Kingdom,"Class Session 2 Assignment: Expanding on Character: Cast and Dialogue, Received Evaluations - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",169
2015,Canada,How Writers Write Fiction 2015 - Sign Up | NovoEd,167
2015,Peru,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,167
2016,Spain,Assignments - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,167
2015,Spain,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,166
2017,Germany,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,166
2015,New Zealand,"Class Session 5 Assignment: Voice and Setting, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",165
2016,United Kingdom,"Assignment 3: Cast and Plot, My Submission - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd",165
2015,France,"Class Session 1 Assignment: Starting with Character, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",164
2015,Grenada,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,164
2015,Panama,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,164
2016,Australia,Edit Report - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,164
2017,Germany,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,164
2015,Australia,How Writers Write Fiction 2015 - Sign In | NovoEd,163
2017,Canada,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,163
2017,Philippines,NovoEd,163
2015,United Kingdom,Avis's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,161
2016,Australia,How Writers Write Fiction 2016: Storied Women - Sign Up | NovoEd,161
2016,India,"Assignment 1: Voice and Identity, My Submission - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd",161
2015,India,How Writers Write Fiction 2015 - Sign Up | NovoEd,160
2015,India,Jyothi's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,160
2017,India,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,160
2015,Argentina,Patricia's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,159
2015,Czechia,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,159
2016,Kenya,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",159
2016,Mexico,Assignments - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,159
2017,Ghana,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,159
2015,Australia,"Class Session 6 Assignment: Immersion in Setting, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",158
2015,Australia,"Class Session 7 Assignment: Embracing Revision, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",158
2015,Switzerland,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,158
2015,United Kingdom,"Class Session 5 Assignment: Voice and Setting, Received Evaluations - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",158
2017,Bangladesh,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,158
2017,Jordan,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,158
2016,Chile,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,157
2017,Brazil,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,157
2017,Ghana,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,157
2015,United Kingdom,Edit Report - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,155
2016,Canada,Alison's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,155
2017,Uganda,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,155
2016,Australia,"Assignment 4: Immersion, My Submission - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd",154
2016,Canada,"Assignment 5: Narrative Experimentation, My Submission - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd",154
2016,Sri Lanka,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",154
2015,Canada,"Class Session 3 Assignment: Working with Plot, Received Evaluations - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",153
2015,United Kingdom,New Evaluation for Class Session 3 Assignment: Working with Plot - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,153
2016,India,#Flashwrite Teen Poetry Workshop 1 | The University of Iowa | NovoEd,153
2016,Turkey,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,153
2015,United Kingdom,"Class Session 5 Assignment: Voice and Setting, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",152
2016,Australia,Leigh's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,152
2015,Australia,"Class Session 2 Assignment: Expanding on Character: Cast and Dialogue, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",151
2016,Australia,You are enrolled! - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,151
2017,Lesotho,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,151
2017,Mozambique,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,151
2017,Thailand,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,151
2015,Sweden,"Class Session 2 Assignment: Expanding on Character: Cast and Dialogue, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",150
2016,Canada,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster - Sign Up | NovoEd",150
2015,United Kingdom,"Class Session 3 Assignment: Working with Plot, Received Evaluations - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",148
2016,Sweden,Cas's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,148
2016,(not set),"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",148
2015,Cyprus,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,147
2015,Germany,Deborah's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,147
2016,Canada,"Assignments - Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",147
2015,France,"Class Session 3 Assignment: Working with Plot, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",146
2017,United Arab Emirates,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,146
2017,Israel,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,146
2017,Romania,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,146
2017,Sweden,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,146
2015,Italy,Lorna's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,145
2016,Australia,"Assignment 5: Narrative Experimentation, My Submission - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd",145
2016,New Zealand,"Assignment 1: Voice and Identity, My Submission - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd",145
2016,Sweden,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",145
2017,Argentina,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,145
2017,India,You are enrolled! - Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,145
2017,Germany,NovoEd,144
2015,Canada,"Class Session 5 Assignment: Voice and Setting, Received Evaluations - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",142
2016,United Kingdom,Diane's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,142
2016,Greece,Assignments - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,142
2016,New Zealand,"Mercedes's Home | Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",142
2017,Malaysia,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,142
2015,India,"Class Session 5 Assignment: Voice and Setting, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",141
2015,Slovakia,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,141
2016,Tunisia,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,141
2015,Australia,New Evaluation for Class Session 1 Assignment: Starting with Character - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,140
2015,Ireland,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,140
2015,India,"Class Session 4 Assignment: Using Character to Produce Frame and Arc, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",140
2016,Zimbabwe,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",140
2017,Libya,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,140
2016,Australia,"Assignments - Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",139
2016,Bermuda,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,139
2016,Ireland,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,139
2017,Sweden,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,139
2016,United Kingdom,Maria E.'s Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,138
2016,Luxembourg,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,138
2016,Myanmar (Burma),How Writers Write Fiction 2015 | The University of Iowa | NovoEd,138
2015,Sri Lanka,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,136
2016,United Kingdom,"Assignment 1: Voice and Identity, Description - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd",136
2016,Croatia,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,136
2016,Croatia,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,136
2016,Iraq,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",136
2016,New Zealand,"Assignments - Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",136
2017,Indonesia,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,136
2017,Suriname,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,136
2015,Brazil,"Class Session 2 Assignment: Expanding on Character: Cast and Dialogue, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",135
2015,Croatia,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,135
2015,Norway,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,135
2015,New Zealand,Edit Report - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,135
2016,India,Caroline's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,135
2017,Guyana,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,135
2017,Luxembourg,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,135
2017,Mexico,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,135
2015,United Kingdom,How Writers Write Fiction 2015 - Sign Up | NovoEd,134
2016,Canada,Justin's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,134
2016,United Kingdom,"Assignment 4: Immersion, My Submission - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd",134
2015,Australia,New Evaluation for Class Session 2 Assignment: Expanding on Character: Cast and Dialogue - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,133
2015,United Kingdom,"Class Session 4 Assignment: Using Character to Produce Frame and Arc, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",133
2017,Somalia,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,133
2016,Australia,"Assignment 1: Voice and Identity, Description - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd",132
2016,Brazil,"Assignment 1: Voice and Identity, My Submission - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd",132
2016,Hong Kong,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",132
2017,Brazil,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,132
2017,Morocco,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,131
2017,Suriname,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,131
2015,Luxembourg,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,129
2015,New Zealand,Kate's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,129
2015,Oman,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,129
2016,Germany,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster - Sign In | NovoEd",129
2016,Turkey,Burcu's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,129
2017,El Salvador,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,129
2016,Canada,"Assignments - Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",128
2016,United Kingdom,How Writers Write Fiction 2015 - Sign In | NovoEd,128
2016,India,"Assignments - Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",128
2015,New Caledonia,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,127
2015,Philippines,Dante's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,127
2015,Sweden,"Class Session 3 Assignment: Working with Plot, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",127
2016,United Kingdom,Home page,127
2017,Ireland,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,127
2017,Morocco,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,127
2017,Tunisia,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,127
2015,New Zealand,Cherllisha's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,126
2015,Turkey,Burcu's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,126
2017,Cameroon,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,126
2017,France,NovoEd,126
2015,United Kingdom,John's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,125
2016,Mauritius,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,125
2017,Ireland,NovoEd,125
2017,Cambodia,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,125
2017,Panama,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,125
2015,Canada,"Class Session 2 Assignment: Expanding on Character: Cast and Dialogue, Description - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",123
2015,Canada,"Class Session 7 Assignment: Embracing Revision, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",123
2015,Canada,New Evaluation for Class Session 5 Assignment: Voice and Setting - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,123
2016,Japan,Michael's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,123
2017,Venezuela,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,123
2016,Bahrain,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",122
2016,Estonia,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,122
2016,South Korea,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",122
2015,Greece,Gigi's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,121
2015,Japan,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,121
2015,Japan,Mari's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,121
2016,Spain,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,121
2016,Nigeria,#Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd,121
2017,Mauritius,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,121
2016,Bahrain,"Nilanjana's Home | Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",120
2016,India,How Writers Write Fiction 2016: Storied Women - Sign Up | NovoEd,120
2017,Guyana,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,120
2017,Turkey,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,120
2015,Venezuela,Steven's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,119
2016,United Kingdom,"Assignments - Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",119
2016,Hungary,#Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd,119
2017,France,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,119
2017,Hong Kong,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,119
2015,Mexico,"Class Session 2 Assignment: Expanding on Character: Cast and Dialogue, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",117
2015,Singapore,Isabelle's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,117
2016,Iraq,#Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd,117
2016,Morocco,Assignments - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,117
2017,Albania,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,117
2015,Egypt,esraa's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,116
2015,Nigeria,Tobi's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,116
2015,New Zealand,"Class Session 1 Assignment: Starting with Character, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",116
2016,Singapore,#Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd,116
2017,Malaysia,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,116
2017,New Zealand,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,116
2015,India,"Class Session 1 Assignment: Starting with Character, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",115
2015,Mexico,"Class Session 3 Assignment: Working with Plot, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",115
2016,Algeria,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,115
2016,India,You are enrolled! - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,115
2017,United Kingdom,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,115
2015,Germany,"Class Session 2 Assignment: Expanding on Character: Cast and Dialogue, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",114
2015,France,"Class Session 4 Assignment: Using Character to Produce Frame and Arc, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",114
2015,Poland,"Class Session 4 Assignment: Using Character to Produce Frame and Arc, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",114
2016,Germany,"Assignment 1: Voice and Identity, My Submission - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd",114
2016,Vietnam,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,114
2017,United Arab Emirates,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,114
2017,Bhutan,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,114
2017,Botswana,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,114
2015,Qatar,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,113
2016,Switzerland,Assignments - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,113
2016,Hong Kong,#Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd,113
2016,Kuwait,#Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd,113
2016,Solomon Islands,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,113
2015,Liechtenstein,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,112
2015,Nepal,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,112
2015,Sierra Leone,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,112
2015,Venezuela,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,112
2015,South Africa,"Class Session 2 Assignment: Expanding on Character: Cast and Dialogue, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",112
2016,Australia,"Jill's Home | Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",112
2016,Estonia,"Miriam's Home | Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",112
2016,Ireland,Kevin's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,112
2016,Iraq,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",112
2016,Oman,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",112
2017,United Arab Emirates,NovoEd,112
2017,Kuwait,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,112
2015,Antigua & Barbuda,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,110
2015,Finland,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,110
2015,France,"Class Session 5 Assignment: Voice and Setting, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",110
2016,Puerto Rico,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",110
2015,Canada,"Class Session 7 Assignment: Embracing Revision, Received Evaluations - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",109
2015,Russia,"Class Session 1 Assignment: Starting with Character, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",109
2016,Italy,Assignments - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,109
2016,Malaysia,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,109
2016,New Zealand,"Mercedes's Home | Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",109
2017,Liberia,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,109
2017,Philippines,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,109
2015,Argentina,Maite's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,108
2015,Canada,"Class Session 6 Assignment: Immersion in Setting, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",108
2015,Germany,"Class Session 1 Assignment: Starting with Character, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",108
2015,Ireland,June Marianne's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,108
2016,United Kingdom,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster - Sign Up | NovoEd",108
2015,Brazil,"Class Session 3 Assignment: Working with Plot, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",107
2015,United Kingdom,Evaluations for Class Session 1 Assignment: Starting with Character - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,107
2015,New Zealand,New Evaluation for Class Session 1 Assignment: Starting with Character - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,107
