# ----------------------------------------,,,,,
# All Web Site Data,,,,,
# Export Metrics (Filter U.S.A.),,,,,
# 20150101-20170730,,,,,
# ----------------------------------------,,,,,
,,,,,
Year,Country ISO Code,Page,New Users,Unique Pageviews,Pageviews
2017,JM,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/home,5,68,106
2017,JO,/poetry-and-plays-2017/,5,9,12
2017,KE,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856471,5,76,113
2017,KW,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/courses/fiction-and-nonfiction-2017/reports/581385,5,5,5
2017,LA,/fiction-and-nonfiction-2017,5,6,7
2017,LK,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/home,5,68,114
2017,LK,/https://app.novoed.com/#!/courses/poetry-and-plays-2017/home,5,36,66
2017,LS,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856276,5,11,15
2017,LT,/poetry-and-plays-2017,5,5,9
2017,LU,/fiction-and-nonfiction-2017,5,6,10
2017,MA,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856276,5,22,37
2017,MN,/fiction-and-nonfiction-2017,5,7,14
2017,MX,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856276,5,42,63
2017,MY,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856471,5,116,168
2017,NE,/fiction-and-nonfiction-2017,5,5,7
2017,NG,/fiction-and-nonfiction-2017/surveys/start/176762,5,240,327
2017,NO,/how-writers-write-fiction-2015,5,5,5
2017,NZ,/how-writers-write-fiction-2016,5,10,11
2017,NZ,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/858067,5,152,236
2017,PL,/how-writers-write-fiction-2015,5,5,5
2017,PR,/https://app.novoed.com/#!/courses/poetry-and-plays-2017/lecture_pages/860430,5,6,6
2017,PR,/poetry-and-plays-2017,5,12,24
2017,PT,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/home,5,180,321
2017,PY,/fiction-and-nonfiction-2017,5,6,11
2017,QA,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856745,5,10,10
2017,RU,/poetry-and-plays-2017/,5,5,6
2017,SA,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856276,5,15,25
2017,SE,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856276,5,40,50
2017,SE,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856472,5,9,9
2017,SG,/how-writers-write-fiction-2015,5,6,6
2017,SR,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856276,5,12,17
2017,TH,/how-writers-write-fiction-2015/oe/#!/conversations/578280,5,6,11
2017,TH,/poetry-and-plays-2017/,5,10,12
2017,TJ,/fiction-and-nonfiction-2017,5,6,7
2017,TR,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856471,5,31,45
2017,UG,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/home,5,118,193
2017,YE,/fiction-and-nonfiction-2017,5,5,9
2017,ZA,/how-writers-write-fiction-2016,5,17,19
2017,ZA,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856566,5,153,245
2017,ZM,/poetry-and-plays-2017/,5,9,9
2017,ZW,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856276,5,15,20
2015,AE,/how-writers-write-fiction-2015?referral_token=NL092315,4,4,4
2015,AE,/how-writers-write-fiction-2015/?referral_token=NL111015,4,4,4
2015,AG,/how-writers-write-fiction-2015,4,4,7
2015,AR,/how-writers-write-fiction-2015/lecture_pages/833678,4,55,73
2015,AT,/how-writers-write-fiction-2015?referral_token=NL092315,4,5,5
2015,AU,/how-writers-write-fiction-2015?is_enrolled_error=true&redirect_message=You must be enrolled in this course to enter.&redirect_message_type=error&after_auth_path=https://novoed.com/how-writers-write-fiction-2015/oe/#!/forums/50402&class=how-writers-write-fiction-2015,4,7,7
2015,AU,/how-writers-write-fiction-2015/exercises,4,"1,320","2,228"
2015,AU,/how-writers-write-fiction-2015/lecture_pages/834001,4,181,217
2015,AU,/how-writers-write-fiction-2015/lecture_pages/834178,4,66,73
2015,BB,/how-writers-write-fiction-2015/oe/,4,73,155
2015,BD,/how-writers-write-fiction-2015?referral_token=NL092315,4,4,4
2015,BE,/how-writers-write-fiction-2015/home/terms,4,15,19
2015,BR,/how-writers-write-fiction-2015/lecture_pages/835012,4,128,152
2015,BR,/how-writers-write-fiction-2015/statement_template?user_id=850409,4,5,5
2015,BS,/how-writers-write-fiction-2015?referral_token=NL092315,4,4,4
2015,BW,/how-writers-write-fiction-2015,4,9,9
2015,CA,/how-writers-write-fiction-2015/,4,35,37
2015,CA,/how-writers-write-fiction-2015/exercises/32767?menu=submission,4,106,138
2015,CA,/how-writers-write-fiction-2015/exercises/33580,4,400,507
2015,CA,/how-writers-write-fiction-2015/lecture_pages/833989,4,80,111
2015,CA,/how-writers-write-fiction-2015/lecture_pages/834001,4,288,364
2015,CA,/how-writers-write-fiction-2015/statement_template?user_id=860217,4,7,10
2015,CA,/how-writers-write-fiction-2015/surveys/start/169598,4,60,66
2015,CH,/how-writers-write-fiction-2015?referral_token=NL092315,4,4,4
2015,CM,/how-writers-write-fiction-2015,4,7,9
2015,CN,/?from=http://www.traffic2cash.xyz/,4,4,4
2015,CR,/how-writers-write-fiction-2015,4,7,7
2015,DE,/how-writers-write-fiction-2015/,4,5,6
2015,DE,/how-writers-write-fiction-2015/exercises,4,843,"1,302"
2015,DE,/how-writers-write-fiction-2015/lecture_pages/833994,4,34,51
2015,DE,/how-writers-write-fiction-2015/lecture_pages/835738,4,17,24
2015,DK,/how-writers-write-fiction-2015?referral_token=NL092315,4,4,4
2015,DO,/how-writers-write-fiction-2015,4,78,87
2015,EC,/how-writers-write-fiction-2015,4,31,32
2015,EC,/how-writers-write-fiction-2015/home,4,99,186
2015,EG,/how-writers-write-fiction-2015/lecture_pages/835311,4,51,85
2015,EG,/how-writers-write-fiction-2015/transactions/new,4,26,48
2015,FI,/how-writers-write-fiction-2015/?referral_token=NL111015,4,5,6
2015,FR,/how-writers-write-fiction-2015/exercises,4,675,"1,055"
2015,FR,/how-writers-write-fiction-2015/home/terms,4,30,34
2015,GB,/how-writers-write-fiction-2015?is_enrolled_error=true,4,5,5
2015,GB,/how-writers-write-fiction-2015/,4,25,25
2015,GE,/how-writers-write-fiction-2015,4,4,4
2015,GR,/how-writers-write-fiction-2015/oe/,4,460,988
2015,GY,/how-writers-write-fiction-2015,4,7,7
2015,HT,/how-writers-write-fiction-2015/?referral_token=NL111015,4,4,6
2015,ID,/how-writers-write-fiction-2015?referral_token=NL092315,4,4,4
2015,ID,/how-writers-write-fiction-2015/oe/,4,85,181
2015,IL,/how-writers-write-fiction-2015/oe/,4,118,204
2015,IN,/how-writers-write-fiction-2015/,4,5,5
2015,IN,/how-writers-write-fiction-2015/lecture_pages/834007,4,189,261
2015,IQ,/how-writers-write-fiction-2015/home,4,21,42
2015,JO,/how-writers-write-fiction-2015/?referral_token=NL111015,4,5,6
2015,JP,/?from=http://www.traffic2cash.xyz/,4,4,4
2015,JP,/how-writers-write-fiction-2015?referral_token=NL092315,4,4,4
2015,JP,/how-writers-write-fiction-2015/lecture_pages/833678,4,45,56
2015,KE,/how-writers-write-fiction-2015/lecture_pages/833678,4,34,53
2015,KE,/how-writers-write-fiction-2015/oe/,4,65,109
2015,KH,/how-writers-write-fiction-2015,4,4,4
2015,KR,/how-writers-write-fiction-2015/?referral_token=NL111015,4,4,5
2015,KR,/how-writers-write-fiction-2015/lecture_pages/833678,4,35,52
2015,KR,/how-writers-write-fiction-2015/lecture_pages/835455,4,22,29
2015,LR,/how-writers-write-fiction-2015/home,4,5,6
2015,LT,/how-writers-write-fiction-2015/?referral_token=NL111015,4,4,4
2015,MG,/how-writers-write-fiction-2015/home,4,12,12
2015,MK,/how-writers-write-fiction-2015/home,4,4,4
2015,NG,/how-writers-write-fiction-2015/lecture_pages/833678,4,65,89
2015,NG,/how-writers-write-fiction-2015/lecture_pages/835012,4,63,80
2015,NL,/how-writers-write-fiction-2015/home/terms,4,17,20
2015,NL,/how-writers-write-fiction-2015/lecture_pages/833678,4,96,155
2015,NL,/how-writers-write-fiction-2015/lecture_pages/834125,4,31,39
2015,NZ,/how-writers-write-fiction-2015/lecture_pages/834178,4,45,52
2015,NZ,/how-writers-write-fiction-2015/statement_template?user_id=858402,4,5,5
2015,PH,/how-writers-write-fiction-2015/exercises/33087,4,80,96
2015,PH,/how-writers-write-fiction-2015/home/terms,4,25,30
2015,PH,/how-writers-write-fiction-2015/lecture_pages/835012,4,68,85
2015,PK,/how-writers-write-fiction-2015?referral_token=c8020a,4,5,5
2015,PK,/how-writers-write-fiction-2015/lecture_pages/834008,4,86,106
2015,PL,/how-writers-write-fiction-2015/oe/,4,377,"1,043"
2015,PT,/how-writers-write-fiction-2015/?referral_token=NL111015,4,5,5
2015,QA,/how-writers-write-fiction-2015?referral_token=efe4dc,4,4,4
2015,QA,/how-writers-write-fiction-2015?referral_token=NL092315,4,4,4
2015,QA,/how-writers-write-fiction-2015/exercises,4,121,217
2015,RO,/how-writers-write-fiction-2015?referral_token=NL092315,4,9,9
2015,RO,/how-writers-write-fiction-2015/oe/,4,133,252
2015,RS,/how-writers-write-fiction-2015/?referral_token=NL111015,4,4,6
2015,RU,/how-writers-write-fiction-2015/exercises,4,559,757
2015,RU,/how-writers-write-fiction-2015/lecture_pages/834570,4,119,147
2015,SA,/how-writers-write-fiction-2015/home,4,88,126
2015,SD,/how-writers-write-fiction-2015,4,4,4
2015,SE,/users/sign_in?redirect_message=Please sign in to continue.&redirect_message_type=error&after_auth_path=https://novoed.com/how-writers-write-fiction-2015/oe/#!/conversations&class=how-writers-write-fiction-2015,4,17,20
2015,SG,/how-writers-write-fiction-2015/home/terms,4,14,16
2015,SN,/how-writers-write-fiction-2015,4,6,6
2015,TH,/how-writers-write-fiction-2015/lecture_pages/835311,4,56,71
2015,TR,/how-writers-write-fiction-2015/home/terms,4,14,19
2015,TR,/how-writers-write-fiction-2015/lecture_pages/834570,4,73,104
2015,TR,/how-writers-write-fiction-2015/oe/,4,636,"2,456"
2015,TZ,/how-writers-write-fiction-2015,4,4,4
2015,UA,/how-writers-write-fiction-2015/oe/,4,32,52
2015,UG,/how-writers-write-fiction-2015,4,11,16
2015,UG,/how-writers-write-fiction-2015/home,4,68,101
2015,UG,/how-writers-write-fiction-2015/oe/,4,86,165
2015,VI,/how-writers-write-fiction-2015/home,4,6,6
2015,VN,/how-writers-write-fiction-2015/home,4,66,97
2015,ZA,/how-writers-write-fiction-2015/lecture_pages/835012,4,98,134
2015,ZM,/how-writers-write-fiction-2015/home,4,14,17
2015,ZZ,/how-writers-write-fiction-2015/lecture_pages/833678,4,61,67
2016,AG,/how-writers-write-fiction-2016/home,4,46,67
2016,AM,/how-writers-write-fiction-2016,4,6,10
2016,AT,/whitman-2016/,4,5,5
2016,AU,/how-writers-write-fiction-2016/lecture_pages/847902,4,117,172
2016,AU,/how-writers-write-fiction-2016#!/.V_GJ7P0-ILA.facebook,4,4,4
2016,AU,/users/sign_in?class=flash-write-2016,4,4,4
2016,AU,/whitman-2016/reports/487417,4,5,9
2016,BD,/flash-write-2016/home,4,55,78
2016,BD,/how-writers-write-fiction-2016/home,4,21,36
2016,BG,/flash-write-2016,4,4,7
2016,BG,/how-writers-write-fiction-2016/lecture_pages/845715,4,16,26
2016,BM,/how-writers-write-fiction-2016/lecture_pages/845715,4,19,24
2016,BM,/how-writers-write-fiction-2016/lecture_pages/846795,4,11,16
2016,BO,/how-writers-write-fiction-2015,4,4,5
2016,BO,/how-writers-write-fiction-2016/lecture_pages/847386,4,20,24
2016,BO,/whitman-2016/,4,5,6
2016,BR,/flash-write-2016?referral_token=NL031616,4,4,4
2016,BR,/how-writers-write-fiction-2016/exercises/39741,4,173,254
2016,BR,/how-writers-write-fiction-2016/lecture_pages/847386,4,77,97
2016,BR,/how-writers-write-fiction-2016#!/!/.V-WO5sznu5w.twitter,4,4,4
2016,CA,/how-writers-write-fiction-2016/lecture_pages/846073,4,476,687
2016,CA,/how-writers-write-fiction-2016/notifications,4,159,225
2016,CA,/how-writers-write-fiction-2016/oe/#!/topics/103692/posts/575643/comments/576999?mentionUserId=1205323&mentionFirstName=Gina&mentionLastName=Yates,4,5,12
2016,CA,/how-writers-write-fiction-2016/users/my_account,4,104,124
2016,CA,/users/sign_up,4,406,461
2016,CA,/whitman-2016#!.V3Q4LhOGnWg.facebook,4,4,4
2016,CM,/whitman-2016/,4,6,6
2016,CN,/?from=http://share-buttons.xyz/,4,4,4
2016,CN,/how-writers-write-fiction-2015,4,4,5
2016,CN,/how-writers-write-fiction-2016/lecture_pages/845715,4,123,167
2016,CZ,/how-writers-write-fiction-2016/home,4,10,12
2016,CZ,/how-writers-write-fiction-2016/lecture_pages/847385,4,10,12
2016,DE,/how-writers-write-fiction-2016/announcements/,4,179,193
2016,DE,/how-writers-write-fiction-2016/lecture_pages/846795,4,103,133
2016,DE,/sharebutton.to,4,4,11
2016,DE,/whitman-2016/oe/#!/users/beate_carlsen,4,6,12
2016,EE,/how-writers-write-fiction-2015,4,7,7
2016,ES,/how-writers-write-fiction-2016/announcements/,4,83,103
2016,ES,/whitman-2016/home/terms,4,20,24
2016,FR,/how-writers-write-fiction-2016/announcements/,4,148,176
2016,FR,/how-writers-write-fiction-2016/oe/#!/topics/100709/posts/560446?mentionUserId=847312&mentionFirstName=Susannah&mentionLastName=Shive,4,4,6
2016,GB,/68470118-1.compliance-don.xyz,4,4,11
2016,GB,/68470118-1.compliance-fred.xyz,4,4,11
2016,GB,/flash-write-2016?referral_token=NL031616,4,4,4
2016,GB,/how-writers-write-fiction-2015/home/terms,4,12,12
2016,GB,/how-writers-write-fiction-2015/statement_template?user_id=1056026,4,4,4
2016,GB,/how-writers-write-fiction-2016/exercises/39840,4,215,319
2016,GB,/how-writers-write-fiction-2016/lecture_pages/846073,4,430,613
2016,GB,/how-writers-write-fiction-2016/lecture_pages/846815,4,260,369
2016,GB,/how-writers-write-fiction-2016/oe/#!/forums/trending,4,281,339
2016,GB,/how-writers-write-fiction-2016/surveys/start/173247,4,68,70
2016,GB,/how-writers-write-fiction-2016/surveys/start/173610,4,56,65
2016,GB,/how-writers-write-fiction-2016#!.V-VsifJByEU.facebook,4,4,4
2016,GB,/how-writers-write-fiction-2016#.V-VsifJByEU.facebook,4,4,4
2016,GB,/whitman-2016/lecture_pages/843341,4,138,179
2016,GB,/whitman-2016/lecture_pages/843345,4,70,83
2016,GB,/whitman-2016/oe/#!/forums/trending,4,134,163
2016,GB,/whitman-2016/surveys/start/172267,4,24,25
2016,GD,/how-writers-write-fiction-2016,4,4,5
2016,GR,/how-writers-write-fiction-2016/announcements/,4,122,134
2016,GR,/whitman-2016/home,4,101,153
2016,GR,/whitman-2016/lecture_pages/842039,4,17,27
2016,GT,/whitman-2016/,4,10,10
2016,GY,/how-writers-write-fiction-2016,4,5,9
2016,HK,/flash-write-2016,4,5,9
2016,HK,/how-writers-write-fiction-2015/home,4,7,7
2016,HK,/how-writers-write-fiction-2016/home,4,34,55
2016,HK,/how-writers-write-fiction-2016/lecture_pages/845715,4,30,39
2016,HU,/how-writers-write-fiction-2016,4,15,20
2016,ID,/whitman-2016/home/terms,4,5,5
2016,IE,/flash-write-2016,4,12,15
2016,IE,/how-writers-write-fiction-2016/lecture_pages/846795,4,86,137
2016,IE,/how-writers-write-fiction-2016/lecture_pages/847385,4,53,72
2016,IE,/how-writers-write-fiction-2016/oe/#!/submissions/39741?from_checklist=true,4,37,68
2016,IE,/whitman-2016/home,4,53,83
2016,IE,/whitman-2016/lecture_pages/842255,4,78,98
2016,IE,/whitman-2016/lecture_pages/843345,4,48,66
2016,IE,/whitman-2016/oe/#!/users/anita_mckay_1,4,6,7
2016,IL,/how-writers-write-fiction-2015/home,4,11,12
2016,IL,/whitman-2016/statement_template#.V-ruucJ73-k.facebook,4,5,5
2016,IN,/how-writers-write-fiction-2015/oe/#!/teams/120588/profile,4,4,7
2016,IN,/how-writers-write-fiction-2016/announcements,4,65,81
2016,IN,/how-writers-write-fiction-2016/lecture_pages/846815,4,159,230
2016,IN,/iowa-sandbox/home,4,4,6
2016,IN,/users/sign_in,4,158,246
2016,IQ,/flash-write-2016,4,11,12
2016,IQ,/users/sign_in,4,21,26
2016,IR,/how-writers-write-fiction-2015,4,5,10
2016,IS,/how-writers-write-fiction-2016/announcements/,4,11,11
2016,IT,/flash-write-2016,4,6,11
2016,IT,/sharebutton.to,4,4,11
2016,JP,/flash-write-2016,4,4,4
2016,JP,/how-writers-write-fiction-2016/lecture_pages/845715,4,93,152
2016,JP,/whitman-2016,4,26,36
2016,KR,/how-writers-write-fiction-2016#!.V_Zj48dyqtY.facebook,4,4,4
2016,KZ,/flash-write-2016,4,4,4
2016,LK,/flash-write-2016,4,5,6
2016,LV,/how-writers-write-fiction-2016,4,5,5
2016,MM,/flash-write-2016,4,10,21
2016,MW,/how-writers-write-fiction-2016,4,5,6
2016,MX,/flash-write-2016,4,4,7
2016,MX,/how-writers-write-fiction-2016/lecture_pages/846070,4,37,67
2016,MY,/how-writers-write-fiction-2015/home,4,15,21
2016,MY,/how-writers-write-fiction-2016/,4,4,5
2016,MY,/how-writers-write-fiction-2016/announcements/,4,26,35
2016,MY,/whitman-2016/oe/#!/forums/53596,4,5,9
2016,MY,/whitman-2016/oe/#!/topics/94891/posts/528849/comments/500259,4,5,7
2016,NG,/flash-write-2016,4,7,14
2016,NG,/how-writers-write-fiction-2016/,4,5,6
2016,NG,/how-writers-write-fiction-2016/announcements,4,41,47
2016,NG,/how-writers-write-fiction-2016/exercises/39741,4,62,91
2016,NG,/how-writers-write-fiction-2016#.V_GJ7P0-ILA.facebook,4,4,4
2016,NG,/users/sign_up,4,71,80
2016,NL,/flash-write-2016,4,4,5
2016,NL,/how-writers-write-fiction-2016/,4,5,5
2016,NO,/how-writers-write-fiction-2016/announcements/,4,22,27
2016,NO,/how-writers-write-fiction-2016/home,4,41,66
2016,NP,/how-writers-write-fiction-2015,4,5,6
2016,NP,/how-writers-write-fiction-2016/announcements,4,9,12
2016,NZ,/how-writers-write-fiction-2016/lecture_pages/847385,4,111,145
2016,NZ,/how-writers-write-fiction-2016/oe/#!/submissions/39741?from_checklist=true,4,113,164
2016,NZ,/whitman-2016/lecture_pages/842255,4,172,229
2016,OM,/whitman-2016/home/terms,4,9,9
2016,PA,/whitman-2016/lecture_pages/842255,4,11,14
2016,PH,/users/sign_in,4,26,41
2016,PH,/users/sign_in?class=flash-write-2016,4,5,7
2016,PH,/users/sign_up,4,67,71
2016,PK,/whitman-2016/home,4,103,164
2016,PL,/how-writers-write-fiction-2016/home,4,32,41
2016,PT,/whitman-2016,4,11,14
2016,RO,/whitman-2016/,4,7,9
2016,RS,/how-writers-write-fiction-2016,4,6,6
2016,RU,/flash-write-2016/home,4,60,101
2016,RU,/whitman-2016/oe/#!/topics/96772,4,12,14
2016,RU,/whitman-2016/oe/#!/topics/97374,4,14,15
2016,SD,/whitman-2016/,4,4,4
2016,SE,/how-writers-write-fiction-2016/lecture_pages/845715,4,37,42
2016,SG,/how-writers-write-fiction-2016/exercises/39741,4,82,113
2016,SG,/how-writers-write-fiction-2016/lecture_pages/846795,4,86,121
2016,SI,/how-writers-write-fiction-2016,4,6,6
2016,SI,/whitman-2016/,4,4,4
2016,SN,/how-writers-write-fiction-2015,4,4,5
2016,SO,/how-writers-write-fiction-2016,4,5,7
2016,TH,/whitman-2016,4,5,5
2016,TH,/whitman-2016/announcements/,4,11,11
2016,TN,/flash-write-2016,4,4,4
2016,TR,/how-writers-write-fiction-2015/home,4,21,22
2016,TR,/how-writers-write-fiction-2016/lecture_pages/845715,4,63,85
2016,TR,/whitman-2016/home,4,20,22
2016,TW,/how-writers-write-fiction-2016/home,4,34,63
2016,UG,/how-writers-write-fiction-2016,4,14,21
2016,VE,/how-writers-write-fiction-2015,4,4,4
2016,VI,/how-writers-write-fiction-2016,4,4,4
2016,YE,/how-writers-write-fiction-2016,4,4,6
2016,ZA,/whitman-2016/announcements/,4,50,53
2016,ZA,/whitman-2016/exercises/37498,4,47,67
2016,ZA,/whitman-2016/home,4,194,282
2016,ZM,/how-writers-write-fiction-2016,4,5,6
2016,ZZ,/whitman-2016/home,4,22,30
2017,AE,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/teams/164943/workspace,4,11,14
2017,AE,/poetry-and-plays-2017/,4,9,9
2017,AG,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856271,4,30,46
2017,AG,/poetry-and-plays-2017,4,10,15
2017,AM,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/home,4,6,7
2017,AR,/https://app.novoed.com/#!/courses/poetry-and-plays-2017/lecture_pages/858469,4,12,16
2017,AT,/how-writers-write-fiction-2015,4,6,7
2017,AU,/fiction-and-nonfiction-2017/oe/#!/forums/trending,4,11,12
2017,AU,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/discussions?topicId=58259&filterOption=all&sortOrder=recent,4,113,178
2017,AU,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856540,4,283,598
2017,AU,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856745,4,188,260
2017,AU,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/teams/164610/workspace/posts/149695,4,11,20
2017,AU,/https://app.novoed.com/#!/courses/poetry-and-plays-2017/lecture_pages/860431,4,319,731
2017,AU,/https://app.novoed.com/#!/courses/poetry-and-plays-2017/teams/166387/workspace,4,62,117
2017,AZ,/fiction-and-nonfiction-2017,4,11,14
2017,BD,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/home,4,76,165
2017,BD,/https://app.novoed.com/#!/courses/poetry-and-plays-2017/home,4,70,150
2017,BD,/https://app.novoed.com/#!/courses/poetry-and-plays-2017/lecture_pages/860430,4,24,39
2017,BD,/poetry-and-plays-2017/,4,5,6
2017,BH,/poetry-and-plays-2017/,4,4,4
2017,BM,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856471,4,7,9
2017,BO,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/858067,4,15,21
2017,BO,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/860565,4,9,11
2017,BR,/fiction-and-nonfiction-2017/surveys/start/176762,4,117,139
2017,BR,/how-writers-write-fiction-2016/home,4,37,42
2017,BR,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/860565,4,26,41
2017,BR,/https://app.novoed.com/#!/courses/poetry-and-plays-2017/home,4,55,86
2017,BZ,/fiction-and-nonfiction-2017,4,4,6
2017,CA,/fiction-and-nonfiction-2017/oe/#!/forums/trending,4,11,12
2017,CA,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856567,4,133,196
2017,CA,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856745,4,211,283
2017,CA,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/teams/164493/workspace,4,104,214
2017,CA,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/teams/165515/workspace/posts/144711,4,5,7
2017,CA,/https://app.novoed.com/#!/courses/poetry-and-plays-2017/lecture_pages/860352,4,117,140
2017,CA,/https://app.novoed.com/#!/courses/poetry-and-plays-2017/lecture_pages/860431,4,246,577
2017,CI,/fiction-and-nonfiction-2017,4,9,11
2017,CM,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/home,4,45,109
2017,CM,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856471,4,21,34
2017,CN,/how-writers-write-fiction-2016,4,4,4
2017,CN,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856271,4,37,67
2017,CO,/poetry-and-plays-2017/,4,4,4
2017,CZ,/how-writers-write-fiction-2015,4,4,4
2017,DE,/how-writers-write-fiction-2016,4,6,6
2017,DE,/how-writers-write-fiction-2016/home,4,19,25
2017,DE,/https://app.novoed.com/#!/courses/poetry-and-plays-2017/home,4,122,219
2017,DE,/https://app.novoed.com/#!/courses/poetry-and-plays-2017/lecture_pages/858469,4,40,85
2017,DE,/https://app.novoed.com/#!/courses/poetry-and-plays-2017/lecture_pages/860430,4,48,67
2017,DJ,/fiction-and-nonfiction-2017,4,4,5
2017,DO,/poetry-and-plays-2017,4,6,7
2017,DZ,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/home,4,75,126
2017,EG,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856471,4,45,67
2017,EG,/https://app.novoed.com/#!/courses/poetry-and-plays-2017/home,4,40,70
2017,EG,/https://app.novoed.com/#!/courses/poetry-and-plays-2017/lecture_pages/858469,4,27,45
2017,ES,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856566,4,66,107
2017,ET,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/exercises/45354,4,68,104
2017,ET,/poetry-and-plays-2017/,4,9,9
2017,FR,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/858067,4,53,91
2017,FR,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/860565,4,58,116
2017,FR,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/reports/588724?galleryMode=,4,11,12
2017,FR,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/reports/588724?galleryMode=true,4,7,17
2017,GB,/fiction-and-nonfiction-2017/surveys/start/176762,4,295,338
2017,GB,/flash-write-2016,4,4,4
2017,GB,/how-writers-write-fiction-2016/lecture_pages/845715,4,34,42
2017,GB,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/teams/164008/workspace,4,73,135
2017,GB,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/users/851768,4,11,16
2017,GB,/https://app.novoed.com/#!/courses/poetry-and-plays-2017/lecture_pages/860431,4,290,717
2017,GB,/https://app.novoed.com/#!/courses/poetry-and-plays-2017/lecture_pages/860434,4,99,211
2017,GB,/https://app.novoed.com/#!/courses/poetry-and-plays-2017/lecture_pages/862469,4,66,91
2017,GB,/poetry-and-plays-2017/users/my_account,4,43,48
2017,GH,/poetry-and-plays-2017/,4,10,12
2017,GR,/https://app.novoed.com/#!/courses/poetry-and-plays-2017/lecture_pages/858469,4,25,45
2017,HK,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856276,4,16,24
2017,HK,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/reports/590095?galleryMode=true,4,5,5
2017,HR,/poetry-and-plays-2017,4,4,9
2017,HT,/poetry-and-plays-2017,4,5,9
2017,ID,/https://app.novoed.com/#!/courses/poetry-and-plays-2017/lecture_pages/860430,4,20,36
2017,ID,/poetry-and-plays-2017/,4,6,6
2017,IE,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856472,4,30,40
2017,IE,/https://app.novoed.com/#!/courses/poetry-and-plays-2017/teams/166409/workspace,4,31,65
2017,IL,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/home,4,198,476
2017,IL,/whitman-2016,4,4,5
2017,IN,/fiction-and-nonfiction-2017/oe/#!/forums/trending,4,9,11
