# ----------------------------------------
# All Web Site Data
# Export Metrics (Filter U.S.A.)
# 20150101-20170719
# ----------------------------------------

Year,Country,Page Title,Pageviews
2015,Canada,New Evaluation for Class Session 6 Assignment: Immersion in Setting - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,139
2015,Russia,"Class Session 1 Assignment: Starting with Character, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",138
2016,United Kingdom,Chris's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,138
2016,United Kingdom,How Writers Write Fiction 2015 - Sign In | NovoEd,138
2016,New Zealand,"Assignments - Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",138
2017,Cambodia,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,138
2017,Lebanon,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,138
2015,Austria,"Class Session 3 Assignment: Working with Plot, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",136
2015,Austria,"Class Session 3 Assignment: Working with Plot, Received Evaluations - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",136
2015,Pakistan,"Class Session 2 Assignment: Expanding on Character: Cast and Dialogue, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",136
2015,Sweden,"Class Session 6 Assignment: Immersion in Setting, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",136
2016,Algeria,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,136
2016,Singapore,#Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd,136
2017,Sri Lanka,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,136
2017,Tonga,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,136
2015,Austria,Ramona's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,135
2015,New Zealand,"Class Session 3 Assignment: Working with Plot, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",135
2015,New Zealand,New Evaluation for Class Session 3 Assignment: Working with Plot - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,135
2015,Thailand,"Class Session 3 Assignment: Working with Plot, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",135
2015,Thailand,"Class Session 4 Assignment: Using Character to Produce Frame and Arc, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",135
2016,Australia,"Jill's Home | Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",135
2017,Lebanon,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,135
2017,Lebanon,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,135
2017,Morocco,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,135
2017,Venezuela,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,135
2015,Austria,"Class Session 4 Assignment: Using Character to Produce Frame and Arc, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",134
2015,Germany,"Class Session 4 Assignment: Using Character to Produce Frame and Arc, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",134
2015,Malaysia,Azzy's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,134
2017,Spain,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,134
2017,Finland,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,134
2015,Canada,"Class Session 7 Assignment: Embracing Revision, Received Evaluations - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",133
2015,Canada,Rob's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,133
2015,Greece,Dimitra's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,133
2015,Liechtenstein,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,133
2015,Thailand,Edit Report - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,133
2016,Bolivia,#Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd,133
2016,New Zealand,"Assignment 2: Desire and Point of View, My Submission - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd",133
2017,Armenia,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,133
2017,Haiti,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,133
2015,India,Trirupa's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,132
2015,Pakistan,"Class Session 1 Assignment: Starting with Character, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",132
2015,South Africa,"Class Session 1 Assignment: Starting with Character, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",132
2016,Poland,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",132
2017,China,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,132
2017,Algeria,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,132
2017,Saudi Arabia,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,132
2015,New Zealand,"Class Session 5 Assignment: Voice and Setting, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",131
2017,Netherlands,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,131
2015,Australia,"Class Session 3 Assignment: Working with Plot, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",129
2015,Barbados,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,129
2015,Brazil,"Class Session 4 Assignment: Using Character to Produce Frame and Arc, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",129
2015,Brazil,"Class Session 2 Assignment: Expanding on Character: Cast and Dialogue, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",128
2015,France,New Evaluation for Class Session 3 Assignment: Working with Plot - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,128
2015,United Kingdom,New Evaluation for Class Session 7 Assignment: Embracing Revision - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,128
2015,Singapore,Vicky's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,128
2015,South Africa,"Class Session 3 Assignment: Working with Plot, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",128
2017,Rwanda,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,128
2015,Canada,"Class Session 2 Assignment: Expanding on Character: Cast and Dialogue, Description - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",127
2016,United Kingdom,Home page,127
2016,Puerto Rico,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",127
2015,Germany,Naveen's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,126
2015,United Kingdom,Evaluations for Class Session 1 Assignment: Starting with Character - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,126
2015,New Zealand,"Class Session 4 Assignment: Using Character to Produce Frame and Arc, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",126
2015,Sweden,"Class Session 1 Assignment: Starting with Character, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",126
2017,Jamaica,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,126
2015,India,Edit Report - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,125
2015,Philippines,"Class Session 1 Assignment: Starting with Character, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",125
2015,Singapore,"Class Session 2 Assignment: Expanding on Character: Cast and Dialogue, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",125
2015,South Africa,Susan 's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,125
2016,United Kingdom,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster - Sign Up | NovoEd",125
2017,Angola,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,125
2017,Italy,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,125
2015,New Zealand,New Evaluation for Class Session 2 Assignment: Expanding on Character: Cast and Dialogue - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,123
2015,Sweden,"Class Session 5 Assignment: Voice and Setting, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",123
2016,Oman,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",123
2016,El Salvador,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,123
2017,Philippines,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,123
2015,Australia,Roseanne's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,122
2015,Brazil,New Evaluation for Class Session 1 Assignment: Starting with Character - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,122
2015,Spain,"Class Session 1 Assignment: Starting with Character, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",122
2015,New Zealand,"Class Session 2 Assignment: Expanding on Character: Cast and Dialogue, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",122
2015,Saudi Arabia,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,122
2017,Saudi Arabia,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,122
2015,Guyana,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,121
2015,New Zealand,Kim's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,121
2015,Sweden,Edit Report - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,121
2016,Bahrain,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,121
2016,Egypt,A tourist - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,121
2016,Mexico,"Assignment 1: Voice and Identity, My Submission - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd",121
2016,Nigeria,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,121
2016,Russia,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,121
2017,Portugal,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,121
2015,India,"Class Session 2 Assignment: Expanding on Character: Cast and Dialogue, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",120
2015,Singapore,"Class Session 1 Assignment: Starting with Character, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",120
2015,Thailand,"Class Session 5 Assignment: Voice and Setting, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",120
2016,Switzerland,"dominique's Home | Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",120
2016,Greece,"Assignment 1: Voice and Identity, My Submission - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd",120
2015,Argentina,"Class Session 1 Assignment: Starting with Character, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",119
2015,Switzerland,Christina's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,119
2015,Russia,"Class Session 2 Assignment: Expanding on Character: Cast and Dialogue, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",119
2016,Australia,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster - Sign Up | NovoEd",119
2016,Canada,Superheroes vs. Disney Princesses - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,119
2016,Canada,When Lorca Broke My Heart - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,119
2016,Guam,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,119
2017,Laos,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,119
2015,Germany,"Class Session 2 Assignment: Expanding on Character: Cast and Dialogue, Received Evaluations - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",117
2015,United Kingdom,Susan's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,117
2015,India,"Class Session 6 Assignment: Immersion in Setting, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",117
2015,India,"Class Session 7 Assignment: Embracing Revision, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",117
2015,Turkey,"Class Session 3 Assignment: Working with Plot, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",117
2016,Canada,Jennifer's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,117
2016,South Korea,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,117
2015,Australia,Edit Report - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,116
2015,Belgium,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,116
2015,Germany,New Evaluation for Class Session 2 Assignment: Expanding on Character: Cast and Dialogue - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,116
2015,France,David's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,116
2015,Jordan,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,116
2015,Taiwan,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,116
2016,Argentina,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",116
2016,Pakistan,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,116
2017,Antigua & Barbuda,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,116
2017,Cyprus,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,116
2017,South Korea,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,116
2017,Maldives,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,116
2015,France,Avis's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,115
2015,France,"Class Session 3 Assignment: Working with Plot, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",115
2015,France,New Evaluation for Class Session 1 Assignment: Starting with Character - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,115
2015,Thailand,"Class Session 2 Assignment: Expanding on Character: Cast and Dialogue, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",115
2016,Canada,Jacinthe's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,115
2016,Greece,Cat's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,115
2017,Spain,NovoEd,115
2017,Sint Maarten,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,115
2015,France,"Class Session 2 Assignment: Expanding on Character: Cast and Dialogue, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",114
2015,Nigeria,Linda's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,114
2016,Canada,"You are enrolled! - Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",114
2016,India,"Nilanjana's Home | Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",114
2017,Poland,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,114
2017,South Sudan,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,114
2015,Canada,Riet's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,113
2015,Mauritius,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,113
2015,Nigeria,"Class Session 2 Assignment: Expanding on Character: Cast and Dialogue, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",113
2015,Philippines,"Class Session 2 Assignment: Expanding on Character: Cast and Dialogue, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",113
2015,Pakistan,Tayyaba's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,113
2016,Spain,"Assignment 1: Voice and Identity, My Submission - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd",113
2016,Spain,Olga's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,113
2015,Australia,"Class Session 5 Assignment: Voice and Setting, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",112
2016,Australia,"Edit Report - Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",112
2016,Mexico,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,112
2016,Panama,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,112
2017,Italy,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,112
2017,Kuwait,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,112
2015,Uganda,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,110
2016,Egypt,Assignments - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,110
2016,Spain,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",110
2016,Israel,"Assignments - Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",110
2016,Thailand,Assignments - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,110
2016,Turkey,Songs from the Word Shed (2) - Options - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,110
2015,Canada,Bieke's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,109
2015,Singapore,"Class Session 3 Assignment: Working with Plot, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",109
2015,Thailand,Nattakarn's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,109
2016,Ecuador,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,109
2015,Australia,How Writers Write Fiction 2015 - Sign Up | NovoEd,108
2015,Brazil,How Writers Write Fiction 2015 - Sign Up | NovoEd,108
2015,Canada,"Class Session 3 Assignment: Working with Plot, Description - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",108
2015,New Zealand,New Evaluation for Class Session 5 Assignment: Voice and Setting - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,108
2016,Denmark,Melody's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,108
2017,Gambia,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,108
2017,Peru,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,108
2015,Australia,"Class Session 6 Assignment: Immersion in Setting, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",107
2015,New Zealand,New Evaluation for Class Session 4 Assignment: Using Character to Produce Frame and Arc - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,107
2015,Poland,"Class Session 7 Assignment: Embracing Revision, Received Evaluations - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",107
2015,Romania,Constantin's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,107
2016,France,"Assignment 1: Voice and Identity, My Submission - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd",107
2016,India,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster - Sign Up | NovoEd",107
2016,Singapore,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,107
2016,Turkey,Assignments - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,107
2017,Bosnia & Herzegovina,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,107
2017,United Kingdom,You are enrolled! - Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,107
2015,Austria,Edit Report - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,106
2015,Barbados,Angela's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,106
2015,Bulgaria,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,106
2015,Germany,"Class Session 3 Assignment: Working with Plot, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",106
2015,Germany,Stefanie's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,106
2015,Netherlands,"Class Session 4 Assignment: Using Character to Produce Frame and Arc, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",106
2016,Barbados,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",106
2017,Tunisia,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,106
2015,Australia,Lesley's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,104
2015,United Kingdom,Foluke's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,104
2015,India,New Evaluation for Class Session 2 Assignment: Expanding on Character: Cast and Dialogue - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,104
2015,Singapore,"Class Session 4 Assignment: Using Character to Produce Frame and Arc, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",104
2015,Senegal,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,104
2016,Switzerland,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",104
2016,France,Kaja's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,104
2017,Afghanistan,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,104
2015,Australia,"Class Session 7 Assignment: Embracing Revision, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",103
2015,Canada,Christine's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,103
2015,Iran,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,103
2015,New Zealand,"Class Session 6 Assignment: Immersion in Setting, Received Evaluations - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",103
2015,Philippines,David 's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,103
2015,Pakistan,"Class Session 3 Assignment: Working with Plot, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",103
2016,Ireland,"Assignment 1: Voice and Identity, My Submission - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd",103
2017,Italy,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,103
2017,Norway,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,103
2017,(not set),Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,103
2015,Austria,"Class Session 2 Assignment: Expanding on Character: Cast and Dialogue, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",102
2015,Canada,Evaluations for Class Session 1 Assignment: Starting with Character - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,102
2015,Germany,Edit Report - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,102
2015,United Kingdom,"Class Session 2 Assignment: Expanding on Character: Cast and Dialogue, Description - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",102
2015,Kuwait,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,102
2015,Lebanon,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,102
2015,New Zealand,"Class Session 7 Assignment: Embracing Revision, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",102
2015,Sweden,"Class Session 7 Assignment: Embracing Revision, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",102
2016,Australia,Judith's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,102
2016,Saudi Arabia,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,102
2016,Slovenia,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",102
2017,Belgium,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,102
2017,Guinea,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,102
2017,Ukraine,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,102
2015,Austria,"Class Session 4 Assignment: Using Character to Produce Frame and Arc, Received Evaluations - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",101
2015,Canada,Mark's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,101
2015,China,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,101
2015,Egypt,"Class Session 7 Assignment: Embracing Revision, Received Evaluations - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",101
2015,France,"Class Session 7 Assignment: Embracing Revision, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",101
2015,Nigeria,"Class Session 4 Assignment: Using Character to Produce Frame and Arc, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",101
2015,Nigeria,"Class Session 5 Assignment: Voice and Setting, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",101
2015,Netherlands,Corrie's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,101
2015,New Zealand,New Evaluation for Class Session 6 Assignment: Immersion in Setting - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,101
2015,Poland,"Class Session 2 Assignment: Expanding on Character: Cast and Dialogue, Received Evaluations - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",101
2015,Puerto Rico,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,101
2015,Zambia,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,101
2016,Australia,"Class 1 Assignment, My Submission - Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",101
2016,Hong Kong,Assignments - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,101
2016,Israel,"Assignments - Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",101
2016,Italy,"Massimo's Home | Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",101
2016,Turkey,Songs from the Word Shed - Sound and Sight - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,101
2017,Canada,You are enrolled! - Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,101
2017,Uganda,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,101
2015,Australia,Madelaine's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,100
2015,Canada,Birgit M.'s Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,100
2015,Canada,Lisa's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,100
2015,Mexico,Alma's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,100
2015,Mexico,"Class Session 2 Assignment: Expanding on Character: Cast and Dialogue, Received Evaluations - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",100
2015,New Zealand,St Paul - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,100
2016,Finland,Assignments - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,100
2016,United Kingdom,A's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,100
2016,United Kingdom,pamela's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,100
2016,Tanzania,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,100
2016,Uganda,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,100
2017,Laos,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,100
2015,Canada,Laura 's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,99
2015,Germany,New Evaluation for Class Session 3 Assignment: Working with Plot - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,99
2015,Kazakhstan,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,99
